Deck ID,Deck Name,Card ID,Question,Answer,Next Review Date,Repetitions,Easiness Factor,Interval,Tags
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,266da9ee-3d55-40c4-9863-ed9d6f96220d,毎朝,まいあさ - every morning,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,5e940370-7da2-4d9c-bbd8-b3d74b7d2c5f,問題,もんだい - problem,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,c0f30b6b-0e51-496f-b799-e73f5f860c74,お茶,おちゃ - green tea,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,52ba2d8a-ea69-492e-aa2d-176df708cfd9,黒,くろ - black,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,d2d0ba32-affb-40eb-a10a-0ef7a9ca411f,台所,だいどころ - kitchen,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,21c2a9fc-0c01-4e93-91e4-541de3224cb7,葉書,はがき - postcard,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,0459b7bf-ea7e-40a5-8662-c93833a977d8,ペン,pen,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,5e2d6f19-4449-48c4-ac4d-8f6dc01dd4a9,ニュース,news,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,dbfa30c0-c88f-41cc-ab9e-a2c990174c94,花瓶,かびん - a vase,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,ea2886a6-0c5d-4026-80f6-94dbb5f99508,フォーク,fork,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,25aa4e91-2550-4722-97e0-e641d3019bb9,引く,ひく - to pull,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
75bbea12-ad27-4a91-9fc3-ef0caf016b38,JLPT N5 Vocab,759d789a-a5c6-43c7-bec9-9756c7da04cc,フィルム,roll of film,2024-07-20 13:16:35.939772,0,2.5,0,['N5']
